job_title,company_name,location,date,Salary,Experience_Needed,Career_Level,Education_Level,Job_Categories,links,No_of_applicants,Job_Requirements
"Senior Financial Data Analyst","Z2 Data","Nasr City, Cairo, Egypt","8 days ago","Confidential","3 To 5 Years","Experienced (Non-Manager)","Bachelor'S Degree","Accounting/Finance | Analyst/Research","https://wuzzuf.net/jobs/p/eLLqvyzdWzSg-Senior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=1&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",57,"Bachelor degree of English Commerce is a Must. | Previous experience in data analysis is a must. | Gender: Male or female. | Maximum age to apply: 28-30. | Excellent English Command. | CFA part 1 or in progress. | Strong Communication skills, Researching skills, data gathering, data analysis, financial statements, must meeting the deadline, reporting skills, leadership skills."
"Junior Financial Data Analyst","Z2 Data","Nasr City, Cairo, Egypt","8 days ago","Confidential","0 To 2 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","Accounting/Finance | Analyst/Research","https://wuzzuf.net/jobs/p/VsU2nXMaIZSy-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=2&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",285,"Bachelor of Commerce (Major in Accounting or Finance ) | Basic knowledge of financial statement. | The basic financial analysis is preferred. | Financial accounting certificate is preferred | Very good English | Hard worker"
"Data Analyst","Confidential -","Cairo, Egypt","11 days ago","Confidential","More Than 3 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/tBGEcQp3jGpV-Data-Analyst-Cairo-Egypt?o=3&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",81,"3+ years (2+ years of hands on SQL, 1+ hands on Power BI/ Tableau/Qlik Sense) | Proficient with SQL. | Understanding of RDBMS. | Understanding of JSON data. | Proficient with any Data Visualization tool. (Power BI preferred) | Ability to write proper SQL queries to extract relevant data and usage of Indices in relational databases. | Ability to make interactive dashboards and reports. | Ability to create data stories with respect to the business. | Ability to analyze large datasets. | An analytical mind with a problem solving approach. | Identify patterns and trends in data. | Understanding the use of different charts and visuals. | Good with programming language (Python)"
"Data Analyst","700 apps","Mohandessin, Giza, Egypt","17 days ago","Confidential","3 To 5 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research","https://wuzzuf.net/jobs/p/RFbeSqdbBS07-Data-Analyst-700-apps-Giza-Egypt?o=4&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",108,"Bachelorâ€™s degree from an accredited university or college in computer science. |  3:5-year Work experience as a data analyst or in a related field. | Ability to work with stakeholders to assess potential risks. | Ability to analyse existing tools | Ability to translate business requirements into non-technical, lay terms. | Demonstrated experience in handling large data sets and relational databases. | Understanding of addressing and metadata standards. | High-level written and verbal communication skills. | Strong Presentation skills. | Strong Data Visualization. | Solid experience in both PowerPoint and Excel. | Critical Thinking. | Strong Info-graphic Skills."
"Data Analyst","Unimix Egypt for Readymix concrete","Nasr City, Cairo, Egypt","16 days ago","Confidential","3 To 5 Years","Experienced (Non-Manager)","Bachelor'S Degree","Accounting/Finance | Analyst/Research | Engineering - Other","https://wuzzuf.net/jobs/p/9f11wPSLEWdW-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=5&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",76,"Bachelors in engineering, sciences, business administration, economics, or a related discipline. | Job Experience: 3: 5 years  | SAP user is a must | Excellent writing skills, strong critical thinking, and problem-solving abilities. | Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy, in a timely manner"
"Data Analyst","Tamweely","Cairo, Egypt","18 days ago","Confidential","1 To 3 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/WtmAc5I4bnrk-Data-Analyst-Tamweely-Cairo-Egypt?o=6&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",224,"Attention to detail. | Proven experience working with Microsoft Excel. | Proven experience working with SQL. | Proven experience working with R or Python. | Proven experience working with a data visualization tool (Tableau/Power BI, etc.). | Excellent analytical, mathematical, and creative problem-solving skills. | Logical and efficient, with keen attention to detail. | An analytical mind and inclination for problem-solving."
"Data Analytics Senior Analyst","Teleperformance - Egypt","Cairo, Egypt","22 days ago","Confidential","More Than 8 Years","Experienced (Non-Manager)","Bachelor'S Degree","Human Resources | IT/Software Development | Analyst/Research","https://wuzzuf.net/jobs/p/4r3hA7UUemZf-Data-Analytics-Senior-Analyst-Teleperformance---Egypt-Cairo-Egypt?o=7&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",71,"Bachelorâ€™s degree in Human Resources, Business Administration or related discipline | Minimum of 8 Years as human resources with sector-specific experience. | Familiarity with key human resources functions including organization structures, hiring, payroll and employee benefits. | Ability to identify trends, draw useful conclusions and recommend solutions.  | Spoken and written Arabic and English is required | Computer literate and hands-on experience with human resources system."
"Data Analyst","Misrhytech","Nasr City, Cairo, Egypt","25 days ago","Confidential","2 To 3 Years","Experienced (Non-Manager)","Bachelor'S Degree","Installation/Maintenance/Repair | IT/Software Development | Analyst/Research","https://wuzzuf.net/jobs/p/VutHj2fk0AYp-Data-Analyst-Misrhytech-Cairo-Egypt?o=8&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",129,"Bachelorâ€™s degree | Technical Understanding | Strong analytical and critical thinking | Attention to detail"
"Sales Data Analyst","Confidential -","Maadi, Cairo, Egypt","26 days ago","Confidential","1 To 2 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","Analyst/Research | Sales/Retail","https://wuzzuf.net/jobs/p/bTPeRWlbVl4w-Sales-Data-Analyst-Cairo-Egypt?o=9&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",125,"Bachelor degree in Finance, Economics or Business studies or equivalent professional experience. | Proven financial analytical skills, ideally gained within a commercial environment. | Able to multitask, reassess priorities and adapt quickly to a changing environment. | Strong interpersonal skills, confident personality. | Outstanding eye for detail. | Ability to work with large sets of data from different sources. | Previous experience in the B2B / B2C events industry.  | Experience in working with Salesforce. | Advanced Excel user."
"Business Intelligence Data Analyst","Ibn Sina Pharma","New Cairo, Cairo, Egypt","29 days ago","Confidential","1 To 3 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/QD5m12UvWVdm-Business-Intelligence-Data-Analyst-Ibn-Sina-Pharma-Cairo-Egypt?o=10&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",243,"1-3 Years of Experience as BI Developer or Data Scientist. | Very Good command of English language. | Highly Skilled in SQL Queries, SSRS & Python for data analysis & Visualization. | Experience in methodologies and processes for managing large scale databases. | Considerable Understanding to database management systems & ETL framework. | Experience Using BI Tools (Power BI, Qlik Sense, etc.) | Analytical Mindset with problem Solving Skills. | Knowledge of Business data analytics systems | Very good communication, follow up and accuracy skills."
"Data Analyst","Confidential -","Cairo, Egypt","1 month ago","Confidential","1 To 2 Years","Entry Level (Junior Level / Fresh Grad)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/ZSeuyA6yAXPf-Data-Analyst-Cairo-Egypt?o=11&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",238,""
"Senior Business Data Analyst","Johnson Controls","New Cairo, Cairo, Egypt","1 month ago","Confidential","4 To 6 Years","Experienced (Non-Manager)","Bachelor'S Degree","IT/Software Development | Analyst/Research | Engineering - Telecom/Technology","https://wuzzuf.net/jobs/p/0nCGgGx0pFd4-Senior-Business-Data-Analyst-Johnson-Controls-Cairo-Egypt?o=12&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl",96,"Bachelorâ€™s degree in Economics, Computer Science, Information Management, or Statistics. | Proven working experience as a Business Data Analyst. | Technical expertise regarding data models, database design development, data mining, and segmentation techniques. | Strong experience using Microsoft Power BI. | Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, Javascript, or ETL frameworks). | Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc). | Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy | Adept at queries, report writing, and presenting findings | Excellent level of English both written & verbal."
