job_title,company_name,location,date,Salary,Experience_Needed,Career_Level,Education_Level,Job_Categories,links,No_of_applicants,Job_Requirements
Senior Financial Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt ",8 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/eLLqvyzdWzSg-Senior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=1&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Junior Financial Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt ",8 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/VsU2nXMaIZSy-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=2&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,Confidential -,"Cairo, Egypt ",11 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/tBGEcQp3jGpV-Data-Analyst-Cairo-Egypt?o=3&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,700 apps,"Mohandessin, Giza, Egypt ",17 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/RFbeSqdbBS07-Data-Analyst-700-apps-Giza-Egypt?o=4&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,Unimix Egypt for Readymix concrete,"Nasr City, Cairo, Egypt ",16 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/9f11wPSLEWdW-Data-Analyst-Unimix-Egypt-for-Readymix-concrete-Cairo-Egypt?o=5&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,Tamweely,"Cairo, Egypt ",18 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/WtmAc5I4bnrk-Data-Analyst-Tamweely-Cairo-Egypt?o=6&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analytics Senior Analyst,Teleperformance - Egypt,"Cairo, Egypt ",23 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/4r3hA7UUemZf-Data-Analytics-Senior-Analyst-Teleperformance---Egypt-Cairo-Egypt?o=7&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,Misrhytech,"Nasr City, Cairo, Egypt ",25 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/VutHj2fk0AYp-Data-Analyst-Misrhytech-Cairo-Egypt?o=8&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Sales Data Analyst,Confidential -,"Maadi, Cairo, Egypt ",26 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/bTPeRWlbVl4w-Sales-Data-Analyst-Cairo-Egypt?o=9&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Intelligence Data Analyst,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",29 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/QD5m12UvWVdm-Business-Intelligence-Data-Analyst-Ibn-Sina-Pharma-Cairo-Egypt?o=10&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,Confidential -,"Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/ZSeuyA6yAXPf-Data-Analyst-Cairo-Egypt?o=11&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Senior Business Data Analyst,Johnson Controls,"New Cairo, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/0nCGgGx0pFd4-Senior-Business-Data-Analyst-Johnson-Controls-Cairo-Egypt?o=12&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,StatsBomb,"Nasr City, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/15XN6CqSFgnT-Data-Analyst-StatsBomb-Cairo-Egypt?o=13&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Financial Analyst - Innoventures,Cultiv,"Heliopolis, Cairo, Egypt ",12 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/2HDCHC7zAyh1-Financial-Analyst---Innoventures-Cultiv-Cairo-Egypt?o=14&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Data Analyst,Confidential -,"Dokki, Giza, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/1IEyDvBKUNVb-Data-Analyst-Giza-Egypt?o=15&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Senior Data Analyst / Business Intelligence,New Horizons,"Maadi, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/L86vNsggcNLG-Senior-Data-Analyst-Business-Intelligence-New-Horizons-Cairo-Egypt?o=16&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Sales Analyst,Confidential -,"Cairo, Egypt ",19 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/iw57sQ4fHYda-Sales-Analyst-Cairo-Egypt?o=17&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Reporting Analyst,Mantrac,"10th of Ramadan City, Cairo, Egypt ",23 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/nbfcFVWIGSaF-Reporting-Analyst-Mantrac-Cairo-Egypt?o=18&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Senior Data Analyst,SIPES,"Nozha, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/EDDZ1tn63HS9-Senior-Data-Analyst-SIPES-Cairo-Egypt?o=19&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst,GCSSD,"Heliopolis, Cairo, Egypt ",23 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/KPpJK7BMUpoD-Business-Analyst-GCSSD-Cairo-Egypt?o=20&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Capability Analyst,Confidential -,"Azarita, Alexandria, Egypt ",25 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/OwmjdZQo0qhT-Capability-Analyst-Alexandria-Egypt?o=21&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst/ Implementation Consultant,FlairsTech,"Cairo, Egypt ",26 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/a1DNaK8Yx9ob-Business-Analyst-Implementation-Consultant-Flairstech-Cairo-Egypt?o=22&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
System / Business Analyst,Dimofinf Operations Center,"Nasr City, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/Y2A59rMqTacq-System-Business-Analyst-Dimofinf-Operations-Center-Cairo-Egypt?o=23&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst Team Leader (Freelance 2-Month Project),Qsource,"Sheraton, Cairo, Egypt ",29 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/8GyJV5jLnga0-Business-Analyst-Team-Leader-Freelance-2-Month-Project-Qsource-Cairo-Egypt?o=24&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Financial Analyst & Data Support - Russian Speaker,World Vest Base (WVB ),"Heliopolis, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/C8wjBmKjh8xI-Financial-Analyst-Data-Support---Russian-Speaker-World-Vest-Base-WVB-Cairo-Egypt?o=25&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Market Research Analyst - Software Domain,IDC,"6th of October, Giza, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/fo3xPl2qnyGk-Market-Research-Analyst---Software-Domain-IDC-Giza-Egypt?o=26&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Sales Analyst,Fatura ,"Maadi, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/YJKml3ix9eBy-Sales-Analyst-Fatura-Cairo-Egypt?o=27&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst,Fixed Solutions,"Cairo, Egypt ",9 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/dJ61tG8Hh01w-Business-Analyst-Fixed-Solutions-Cairo-Egypt?o=28&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Financial Analyst,Evergrow for Speciality Fertilizers,"Giza, Giza, Egypt ",15 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/omiiGpgfKin9-Financial-Analyst-Evergrow-for-Speciality-Fertilizers-Giza-Egypt?o=29&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Credit Analyst - valU,EFG Hermes,"Smart Village, Giza, Egypt ",18 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/qscTECkVZlYd-Credit-Analyst---valU-EFG-Hermes-Giza-Egypt?o=30&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Inventory Analyst,Taager,"Maadi, Cairo, Egypt ",16 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/TID32GCW4ETO-Inventory-Analyst-Taager-Cairo-Egypt?o=31&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst,Teleperformance - Egypt,"Cairo, Egypt ",23 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/HcxoJshlm1Oi-Business-Analyst-Teleperformance---Egypt-Cairo-Egypt?o=32&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Senior Business Analyst,IBS Valley,"Maadi, Cairo, Egypt ",1 month ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/ldswTYTrLp3Y-Senior-Business-Analyst-IBS-Valley-Cairo-Egypt?o=33&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst,Future Face,"Cairo, Egypt ",11 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/YZtrBoUeH9tJ-Business-Analyst-Future-Face-Cairo-Egypt?o=34&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Research Analyst,The KPI Institute,"Cairo, Egypt ",8 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/hjhl1TfttBUn-Business-Research-Analyst-The-KPI-Institute-Cairo-Egypt?o=35&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst,Expleo,"Cairo, Egypt ",11 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/lPLjLp7YYswN-Business-Analyst-Expleo-Cairo-Egypt?o=36&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Financial Reporting & Budgeting Analyst,IFT Corporation,"Mokattam, Cairo, Egypt ",8 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/V6gtLxQJ1VnQ-Financial-Reporting-Budgeting-Analyst-IFT-Corporation-Cairo-Egypt?o=37&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Senior Business Analyst,UnitLabs,"Dokki, Giza, Egypt ",19 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/9B8eD1hEl3Qy-Senior-Business-Analyst-UnitLabs-Giza-Egypt?o=38&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
Business Analyst Lead,egabi solutions,"Cairo, Egypt ",17 days ago,not found,not found,not found,not found,not found,https://wuzzuf.net/jobs/p/ZFCO9h5gOZkh-Business-Analyst-Lead-egabi-solutions-Cairo-Egypt?o=39&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,,
